2025-09-04 01:01:42,352 - ERROR - 엑셀 파일 로드 실패: [Errno 22] Invalid argument: 'data\\?붿뼇?ъ궗?쎌젣_?꾩쿂由?v2_cleaned.xlsx'
2025-09-04 01:01:42,352 - ERROR - V5 실행 실패: [Errno 22] Invalid argument: 'data\\?붿뼇?ъ궗?쎌젣_?꾩쿂由?v2_cleaned.xlsx'
2025-09-04 01:05:26,573 - INFO - 엑셀 파일 로드 완료: 688행 4열
2025-09-04 01:05:26,573 - INFO - 실제 컬럼: ['약제분류번호', '약제분류명', '구분', '세부인정기준 및 방법']
2025-09-04 01:05:26,573 - INFO - 컬럼 매핑 완료: {'약제분류번호': '약제분류번호', '약제분류명': '약제 분류명', '구분': '구분', '세부인정기준 및 방법': '세부인정기준 및 방법'}
2025-09-04 01:05:26,609 - INFO - V5 전처리 완료: 688개 항목
2025-09-04 01:05:27,003 - INFO - Backing off call_api_v5(...) for 1.0s (aiohttp.client_exceptions.ClientResponseError: 400, message='Bad Request', url='https://api.openai.com/v1/chat/completions')
2025-09-04 01:05:27,022 - INFO - Backing off call_api_v5(...) for 0.5s (aiohttp.client_exceptions.ClientResponseError: 400, message='Bad Request', url='https://api.openai.com/v1/chat/completions')
2025-09-04 01:05:27,189 - INFO - Backing off call_api_v5(...) for 0.5s (aiohttp.client_exceptions.ClientResponseError: 400, message='Bad Request', url='https://api.openai.com/v1/chat/completions')
2025-09-04 01:05:27,189 - INFO - Backing off call_api_v5(...) for 0.3s (aiohttp.client_exceptions.ClientResponseError: 400, message='Bad Request', url='https://api.openai.com/v1/chat/completions')
2025-09-04 01:05:27,189 - INFO - Backing off call_api_v5(...) for 0.1s (aiohttp.client_exceptions.ClientResponseError: 400, message='Bad Request', url='https://api.openai.com/v1/chat/completions')
2025-09-04 01:05:27,764 - INFO - Backing off call_api_v5(...) for 1.4s (aiohttp.client_exceptions.ClientResponseError: 400, message='Bad Request', url='https://api.openai.com/v1/chat/completions')
2025-09-04 01:05:27,867 - INFO - Backing off call_api_v5(...) for 0.1s (aiohttp.client_exceptions.ClientResponseError: 400, message='Bad Request', url='https://api.openai.com/v1/chat/completions')
2025-09-04 01:05:27,902 - INFO - Backing off call_api_v5(...) for 1.6s (aiohttp.client_exceptions.ClientResponseError: 400, message='Bad Request', url='https://api.openai.com/v1/chat/completions')
2025-09-04 01:05:27,918 - INFO - Backing off call_api_v5(...) for 1.4s (aiohttp.client_exceptions.ClientResponseError: 400, message='Bad Request', url='https://api.openai.com/v1/chat/completions')
2025-09-04 01:05:27,969 - INFO - Backing off call_api_v5(...) for 1.8s (aiohttp.client_exceptions.ClientResponseError: 400, message='Bad Request', url='https://api.openai.com/v1/chat/completions')
2025-09-04 01:05:28,201 - INFO - Backing off call_api_v5(...) for 2.0s (aiohttp.client_exceptions.ClientResponseError: 400, message='Bad Request', url='https://api.openai.com/v1/chat/completions')
2025-09-04 01:05:28,412 - INFO - Backing off call_api_v5(...) for 0.0s (aiohttp.client_exceptions.ClientResponseError: 400, message='Bad Request', url='https://api.openai.com/v1/chat/completions')
2025-09-04 01:05:28,718 - ERROR - Giving up call_api_v5(...) after 3 tries (aiohttp.client_exceptions.ClientResponseError: 400, message='Bad Request', url='https://api.openai.com/v1/chat/completions')
2025-09-04 01:05:28,718 - ERROR - V5 질문 생성 실패 v5_row_0: 400, message='Bad Request', url='https://api.openai.com/v1/chat/completions'
2025-09-04 01:05:29,018 - INFO - Backing off call_api_v5(...) for 0.2s (aiohttp.client_exceptions.ClientResponseError: 400, message='Bad Request', url='https://api.openai.com/v1/chat/completions')
